epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2928.58,0.77205,2.24428,1.11013,0.78952,0.71406,0.82712,0.69709,0.59561,1.2871,0.94409,0.000332066,0.000332066,0.000332066
2,3391.87,0.79224,1.45537,1.11145,0.7724,0.7935,0.85347,0.71247,0.63678,1.07365,0.95268,0.000643441,0.000643441,0.000643441
3,3818.93,0.7969,1.34686,1.11976,0.79558,0.73408,0.82349,0.68618,0.65273,1.1258,0.96283,0.000932816,0.000932816,0.000932816
4,4063.23,0.75853,1.24299,1.08755,0.84259,0.81459,0.89251,0.7391,0.64208,0.92067,0.9639,0.000901,0.000901,0.000901
5,4376.26,0.7284,1.14077,1.08074,0.82301,0.78272,0.86671,0.70968,0.64076,0.95015,0.96361,0.000868,0.000868,0.000868
6,4606.57,0.71756,1.06435,1.0682,0.88101,0.84064,0.9176,0.78481,0.56145,0.81396,0.91821,0.000835,0.000835,0.000835
7,4848.54,0.68487,0.99321,1.05372,0.87792,0.83951,0.92418,0.7808,0.58199,0.82074,0.92224,0.000802,0.000802,0.000802
8,5095.73,0.68003,0.94968,1.05078,0.92408,0.87848,0.94039,0.81718,0.53767,0.63555,0.91841,0.000769,0.000769,0.000769
9,5339.99,0.66839,0.90432,1.04156,0.92471,0.85235,0.93523,0.815,0.52467,0.60483,0.90823,0.000736,0.000736,0.000736
10,5587.7,0.64645,0.86602,1.03944,0.92906,0.86855,0.94161,0.82361,0.51643,0.58776,0.90373,0.000703,0.000703,0.000703
11,5913.95,0.64073,0.84119,1.03817,0.91973,0.85358,0.95151,0.83566,0.49665,0.58839,0.8945,0.00067,0.00067,0.00067
12,6240.08,0.61758,0.77709,1.02131,0.91064,0.88046,0.94346,0.83073,0.50589,0.57504,0.89699,0.000637,0.000637,0.000637
13,6583.36,0.60391,0.77265,1.01833,0.95673,0.87024,0.95309,0.82846,0.50853,0.5253,0.90519,0.000604,0.000604,0.000604
14,6930.22,0.60728,0.74874,1.01988,0.93955,0.87978,0.94429,0.82886,0.48777,0.53445,0.89714,0.000571,0.000571,0.000571
15,7266.01,0.59813,0.72873,1.01243,0.93262,0.88529,0.95786,0.84738,0.46778,0.50072,0.88462,0.000538,0.000538,0.000538
16,7610.45,0.57905,0.69859,1.00473,0.91868,0.91554,0.96036,0.85695,0.48186,0.47438,0.88686,0.000505,0.000505,0.000505
17,7962.75,0.57152,0.68683,1.00361,0.94036,0.91259,0.96106,0.85516,0.45971,0.45355,0.88443,0.000472,0.000472,0.000472
18,8305.97,0.55734,0.63511,0.99398,0.92244,0.92342,0.96307,0.86519,0.45641,0.45667,0.87338,0.000439,0.000439,0.000439
19,8650.38,0.54688,0.62767,0.98839,0.96042,0.89837,0.96743,0.86951,0.44812,0.41459,0.87491,0.000406,0.000406,0.000406
20,8990.79,0.54261,0.61137,0.98977,0.92636,0.91703,0.96196,0.86804,0.44601,0.42008,0.876,0.000373,0.000373,0.000373
21,9327.51,0.41354,0.44877,0.88475,0.94147,0.91073,0.96183,0.86663,0.43936,0.4317,0.87299,0.00034,0.00034,0.00034
22,9660.75,0.40165,0.41783,0.87917,0.95779,0.8933,0.96002,0.86434,0.45311,0.4461,0.87682,0.000307,0.000307,0.000307
23,9870.23,0.38648,0.39604,0.88046,0.9457,0.90092,0.96201,0.86573,0.44092,0.42931,0.86897,0.000274,0.000274,0.000274
24,10074.4,0.37839,0.37714,0.87302,0.95816,0.89948,0.96425,0.87271,0.41726,0.39905,0.86469,0.000241,0.000241,0.000241
25,10290.7,0.36854,0.3525,0.87242,0.96711,0.92309,0.97179,0.88332,0.40864,0.37336,0.85862,0.000208,0.000208,0.000208
26,10510.3,0.35907,0.33083,0.86547,0.94756,0.91742,0.96947,0.883,0.40121,0.37311,0.8535,0.000175,0.000175,0.000175
27,10731.3,0.34156,0.3208,0.85794,0.96333,0.918,0.96888,0.88209,0.40434,0.37162,0.85529,0.000142,0.000142,0.000142
28,11062.2,0.33431,0.30376,0.85801,0.95867,0.91909,0.96815,0.88318,0.3954,0.35954,0.85384,0.000109,0.000109,0.000109
29,11414.1,0.32864,0.29311,0.85568,0.96823,0.92165,0.97202,0.8891,0.38784,0.34515,0.85028,7.6e-05,7.6e-05,7.6e-05
30,11754.6,0.32033,0.28176,0.84606,0.95621,0.93521,0.97237,0.88877,0.38059,0.33715,0.84742,4.3e-05,4.3e-05,4.3e-05
